displayname,patchname,msb,lsb,programchange,poly,arp,categories,digitakt-bank,digitakt-sbnk,digitakt-programchange,designer-proximity,designer-name,designer-proximity,original-patchname
G085,TrashCan!,6,,84,,,Poly,7,,85,SK,Unknown (SK),5,TrashCan!     SK
G086,TributeTo DX,6,,85,,,Poly,7,,86,WMF,Wolfram Franke,1,TributeTo DX WMF
G087,Tron Flutes,6,,86,,,Poly,7,,87,HM,Hubertus Maas,3,Tron Flutes   HM
G088,Tsching Lead,6,,87,,,Poly,7,,88,T,Tsching (Holger Steinbrink),3,Tsching Lead   T
G089,TuBerkel,6,,88,,,Poly,7,,89,DK,Dirk Krause,6,TuBerkel      DK
G090,Typ Reso,6,,89,,,Poly,7,,90,RZ,Unknown (RZ),6,Typ Reso      RZ
G091,UltraFatPoly,6,,90,,,Poly,7,,91,WMF,Wolfram Franke,1,UltraFatPoly WMF
G092,UltraSynC,6,,91,,,Poly,7,,92,jh,Joerg Huettner,5,UltraSynC     jh
G093,UltraWave,6,,92,,,Poly,7,,93,SK,Unknown (SK),5,UltraWave     SK
G094,Unisono Bass,6,,93,,,Poly,7,,94,DK,Dirk Krause,2,Unisono Bass  DK
G095,Utopia!,6,,94,,,Poly,7,,95,SK,Unknown (SK),7,Utopia!       SK
G096,VeloFreak,6,,95,,,Poly,7,,96,jh,Joerg Huettner,5,VeloFreak     jh
G097,Vintage Days,6,,96,,,Poly,7,,97,SK,Unknown (SK),2,Vintage Days  SK
G098,VintageSpring,6,,97,,,Poly,7,,98,WMF,Wolfram Franke,0,VintageSpringWMF
G099,Vitalica,6,,98,,,Poly,7,,99,SK,Unknown (SK),6,Vitalica      SK
G100,Wank,6,,99,,,Poly,7,,100,WMF,Wolfram Franke,9,Wank         WMF
G101,Wank Lead,6,,100,,,Poly,7,,101,WMF,Wolfram Franke,4,Wank Lead    WMF
G102,Wanna Noise??,6,,101,,,Poly,7,,102,jh,Joerg Huettner,1,Wanna Noise?? jh
G103,Warm PWM Lead,6,,102,,,Poly,7,,103,SK,Unknown (SK),1,Warm PWM Lead SK
G104,Warm Verse,6,,103,,,Poly,7,,104,,,,
G105,WaveLayer,6,,104,,,Poly,7,,105,SK,Unknown (SK),5,WaveLayer     SK
G106,Wells'Tripod,6,,105,,,Poly,7,,106,WMF,Wolfram Franke,1,Wells'Tripod WMF
G107,YourChords,6,,106,,,Poly,7,,107,SK,Unknown (SK),4,YourChords    SK
G108,Zapper,6,,107,,,Poly,7,,108,SK,Unknown (SK),8,Zapper        SK
G109,Zawichords,6,,108,,,Poly,7,,109,HS,Howard Scarr,4,Zawichords    HS
G110,Zing Thing,6,,109,,,Poly,7,,110,HS,Howard Scarr,4,Zing Thing    HS
G111,Zippy 2,6,,110,,,Poly,7,,111,HM,Hubertus Maas,7,Zippy 2       HM
G112,Zombie Nation,6,,111,,,Poly,7,,112,T,Tsching (Holger Steinbrink),2,Zombie Nation  T
G113,50s Pad,6,,112,,,Pad,7,,113,,,,
G114,Airpad,6,,113,,,Pad,7,,114,,,,
G115,AirSpacePad,6,,114,,,Pad,7,,115,SK,Unknown (SK),3,AirSpacePad   SK
G116,AmbientSweep,6,,115,,,Pad,7,,116,SK,Unknown (SK),2,AmbientSweep  SK
G117,Analog Pad 1,6,,116,,,Pad,7,,117,,,,
G118,Analog Pad 2,6,,117,,,Pad,7,,118,,,,
G119,Analog Pad 3,6,,118,,,Pad,7,,119,,,,
G120,Angel Pad,6,,119,,,Pad,7,,120,,,,
G121,Antarktis Pad,6,,120,,,Pad,7,,121,jh,Joerg Huettner,1,Antarktis Pad jh
G122,Archangel,6,,121,,,Pad,7,,122,,,,
G123,Attacke,6,,122,,,Pad,7,,123,WMF,Wolfram Franke,6,Attacke      WMF
G124,BackStrings,6,,123,,,Pad,7,,124,WMF,Wolfram Franke,2,BackStrings  WMF
G125,Bandpad,6,,124,,,Pad,7,,125,ugh,Uwe G. Hoenig,6,Bandpad      ugh
G126,BandSpass,6,,125,,,Pad,7,,126,,,,
G127,Bend Pad,6,,126,,,Pad,7,,127,,,,
G128,Big Bad Pad,6,,127,,,Pad,7,,128,,,,
H001,Captain Kirk,7,,0,,,FX,8,,1,,,,
H002,ChopperSweep,7,,1,,,FX,8,,2,,,,
H003,ComputerGames,7,,2,,,FX,8,,3,,,,
H004,Cyber Farm,7,,3,,,FX,8,,4,,,,
H005,DCS3 Bubbles,7,,4,,,FX,8,,5,,,,
H006,Duck Lambada,7,,5,,,FX,8,,6,,,,
H007,EffEmmEffIxx,7,,6,,,FX,8,,7,,,,
H008,Fade FX.,7,,7,,,FX,8,,8,,,,
H009,Final Choice,7,,8,,,FX,8,,9,,,,
H010,FlangedNoise,7,,9,,,FX,8,,10,WMF,Wolfram Franke,1,FlangedNoise WMF
H011,Flangeplosion,7,,10,,,FX,8,,11,WMF,Wolfram Franke,0,FlangeplosionWMF
H012,Flying Teapot,7,,11,,,FX,8,,12,,,,
H013,FM Comb FX,7,,12,,,FX,8,,13,,,,
H014,FM Noises,7,,13,,,FX,8,,14,,,,
H015,Gastrology,7,,14,,,FX,8,,15,,,,
H016,HawaiGlider,7,,15,,,FX,8,,16,,,,
H017,Into Mouth,7,,16,,,FX,8,,17,,,,
H018,LFO  Speeddwn,7,,17,,,FX,8,,18,,,,
H019,LFO  Speedup,7,,18,,,FX,8,,19,,,,
H020,LilaBells,7,,19,,,FX,8,,20,,,,
H021,Living Water,7,,20,,,FX,8,,21,,,,
H022,LosAngeles2019,7,,21,,,FX,8,,22,,,,
H023,Maschinenraum,7,,22,,,FX,8,,23,,,,
H024,Newtronic,7,,23,,,FX,8,,24,,,,
H025,Noise Move,7,,24,,,FX,8,,25,,,,
H026,NoiseSlapper,7,,25,,,FX,8,,26,,,,
H027,NoRobotsHere,7,,26,,,FX,8,,27,,,,
H028,Power Down,7,,27,,,FX,8,,28,,,,
H029,Q Wars,7,,28,,,FX,8,,29,,,,
H030,Reverse-ecioV,7,,29,,,FX,8,,30,,,,
H031,RingDaBell,7,,30,,,FX,8,,31,,,,
H032,Ring Steps,7,,31,,,FX,8,,32,,,,
H033,Rise&Fall,7,,32,,,FX,8,,33,,,,
H034,Robotalk =:b,7,,33,,,FX,8,,34,,,,
H035,Score FX Pad,7,,34,,,FX,8,,35,,,,
H036,Shoot Goose!,7,,35,,,FX,8,,36,,,,
H037,Shore,7,,36,,,FX,8,,37,,,,
H038,Short Moment,7,,37,,,FX,8,,38,,,,
H039,Shot Tool,7,,38,,,FX,8,,39,,,,
H040,Sine Down,7,,39,,,FX,8,,40,,,,
H041,Skywalker,7,,40,,,FX,8,,41,,,,
H042,SubSineSweep,7,,41,,,FX,8,,42,WMF,Wolfram Franke,1,SubSineSweep WMF
H043,The Assault,7,,42,,,FX,8,,43,,,,
H044,The BORG,7,,43,,,FX,8,,44,,,,
H045,Thunderain,7,,44,,,FX,8,,45,,,,
H046,ThunderDrums,7,,45,,,FX,8,,46,,,,
H047,Tron Ring Game,7,,46,,,FX,8,,47,,,,
H048,Tuxedosun,7,,47,,,FX,8,,48,,,,
H049,Why?,7,,48,,,FX,8,,49,,,,
H050,Wind Athmo,7,,49,,,FX,8,,50,,,,
H051,WipeOut,7,,50,,,FX,8,,51,,,,
H052,ZischDeep,7,,51,,,FX,8,,52,,,,
H053,Agogo Scrape,7,,52,,,Perc,8,,53,,,,
H054,All Thumbs,7,,53,,,Perc,8,,54,,,,
H055,AnalogBongo 1,7,,54,,,Perc,8,,55,,,,
H056,Analog HH op,7,,55,,,Perc,8,,56,,,,
H057,AnalogStick 1,7,,56,,,Perc,8,,57,,,,
H058,Bass Drum,7,,57,,,Drum,8,,58,WMF,Wolfram Franke,4,Bass Drum    WMF
H059,BD 90ies Drum,7,,58,,,Perc,8,,59,,,,
H060,BD 808 @ 2002,7,,59,,,Perc,8,,60,,,,
H061,BD analg80ies,7,,60,,,Perc,8,,61,,,,
H062,BD analog 02,7,,61,,,Perc,8,,62,,,,
H063,BD analog 03,7,,62,,,Perc,8,,63,,,,
H064,BD AnalogRand,7,,63,,,Perc,8,,64,,,,
H065,BD Club 01,7,,64,,,Perc,8,,65,,,,
H066,BD Deep Zap,7,,65,,,Perc,8,,66,,,,
H067,BD Disto 808,7,,66,,,Perc,8,,67,,,,
H068,BD DoorSlam,7,,67,,,Perc,8,,68,,,,
H069,BD Hardcore,7,,68,,,Perc,8,,69,,,,
H070,BD HighKick,7,,69,,,Perc,8,,70,,,,
H071,BD On Stage,7,,70,,,Perc,8,,71,,,,
H072,BD Plock!,7,,71,,,Perc,8,,72,,,,
H073,BD Smack It!,7,,72,,,Perc,8,,73,,,,
H074,BD SpectroZap,7,,73,,,Perc,8,,74,,,,
H075,BD SubDrum,7,,74,,,Perc,8,,75,,,,
H076,BD Woof&Pock,7,,75,,,Perc,8,,76,,,,
H077,BD ZapDrum,7,,76,,,Perc,8,,77,,,,
H078,Bended Metal,7,,77,,,Perc,8,,78,,,,
H079,Brush HH,7,,78,,,Perc,8,,79,,,,
H080,Clap 01,7,,79,,,Perc,8,,80,,,,
H081,Clap 03,7,,80,,,Perc,8,,81,,,,
H082,Clap 04,7,,81,,,Perc,8,,82,,,,
H083,ClapsMuehle,7,,82,,,Perc,8,,83,,,,
H084,Deep Bell,7,,83,,,Perc,8,,84,,,,
H085,DivX Pad,7,,84,,,Pad,8,,85,,,,
H086,DoubleHHclose,7,,85,,,Perc,8,,86,,,,
H087,Dry BD,7,,86,,,Perc,8,,87,,,,
H088,Dry BD 2,7,,87,,,Perc,8,,88,,,,
H089,FM HHcl,7,,88,,,Perc,8,,89,,,,
H090,FM HHop,7,,89,,,Perc,8,,90,,,,
H091,HammerBell,7,,90,,,Perc,8,,91,,,,
H092,HH closed 01,7,,91,,,Perc,8,,92,,,,
H093,HH closed 02,7,,92,,,Perc,8,,93,,,,
H094,HH closed 03,7,,93,,,Perc,8,,94,,,,
H095,HH closed 04,7,,94,,,Perc,8,,95,,,,
H096,HH closed 05,7,,95,,,Perc,8,,96,,,,
H097,HH closed 06,7,,96,,,Perc,8,,97,,,,
H098,HH closed 08,7,,97,,,Perc,8,,98,,,,
H099,HH closed 09,7,,98,,,Perc,8,,99,,,,
H100,HH open 01,7,,99,,,Perc,8,,100,,,,
H101,HH open 02,7,,100,,,Perc,8,,101,,,,
H102,HH open 03,7,,101,,,Perc,8,,102,,,,
H103,HH open 06,7,,102,,,Perc,8,,103,,,,
H104,HH open 07,7,,103,,,Perc,8,,104,,,,
H105,HH open 08,7,,104,,,Perc,8,,105,,,,
H106,High PulseZap,7,,105,,,Perc,8,,106,,,,
H107,PPG Zaps,7,,106,,,Perc,8,,107,,,,
H108,Punchy SN,7,,107,,,Perc,8,,108,,,,
H109,Q-La Shaker,7,,108,,,Perc,8,,109,,,,
H110,Skellington,7,,109,,,Perc,8,,110,,,,
H111,SN NeoAnalog,7,,110,,,Perc,8,,111,,,,
H112,SN Real Snare,7,,111,,,Perc,8,,112,,,,
H113,SN RimSnare,7,,112,,,Perc,8,,113,,,,
H114,SN SnAir ;-),7,,113,,,Perc,8,,114,,,,
H115,SN Thinny,7,,114,,,Perc,8,,115,,,,
H116,SN Zappada,7,,115,,,Perc,8,,116,,,,
H117,SN ZapSnare,7,,116,,,Perc,8,,117,,,,
H118,Surrr,7,,117,,,Perc,8,,118,,,,
H119,Tombola 1,7,,118,,,Perc,8,,119,,,,
H120,TR66 Hihat,7,,119,,,Drum,8,,120,WMF,Wolfram Franke,3,TR66 Hihat   WMF
H121,Various Metal,7,,120,,,Perc,8,,121,,,,
H122,Woodpicker,7,,121,,,Perc,8,,122,,,,
H123,Zap 1,7,,122,,,Perc,8,,123,,,,
H124,Zap 2,7,,123,,,Perc,8,,124,,,,
H125,Zap BD,7,,124,,,Perc,8,,125,,,,
H126,Zappy :),7,,125,,,Perc,8,,126,,,,
H127,Zap Stick,7,,126,,,Perc,8,,127,,,,
H128,Init,7,,127,,,Init,8,,128,,,,
