displayname,patchname,msb,lsb,programchange,poly,arp,categories,digitakt-bank,digitakt-sbnk,digitakt-programchange,designer-proximity,designer-name,designer-proximity,original-patchname
B070,EuroClassic,1,,69,,,Lead,2,,70,RL,Unknown (RL),1,EuroClassic RL
B071,HouseMeUp,1,,70,,,Lead,2,,71,RL,Unknown (RL),1,HouseMeUp RL
B072,Motivator,1,,71,,,Arp,2,,72,RL,Unknown (RL),1,Motivator RL
B073,TuffBass,1,,72,,,Bass,2,,73,RL,Unknown (RL),1,TuffBass RL
B074,DarkSweeper,1,,73,,,Lead,2,,74,RL,Unknown (RL),1,DarkSweeper RL
B075,DeepBlue,1,,74,,,Pad,2,,75,RL,Unknown (RL),1,DeepBlue RL
B076,NuElectro,1,,75,,,Lead,2,,76,RL,Unknown (RL),1,NuElectro RL
B077,NiteCrawler,1,,76,,,Keys,2,,77,RL,Unknown (RL),1,NiteCrawler RL
B078,Time2Groove,1,,77,,,Arp,2,,78,RL,Unknown (RL),1,Time2Groove RL
B079,Planetarium,1,,78,,,Pad,2,,79,RL,Unknown (RL),1,Planetarium RL
B080,DiscoBass,1,,79,,,Bass,2,,80,RL,Unknown (RL),1,DiscoBass RL
B081,NoseBleeder,1,,80,,,Arp,2,,81,RL,Unknown (RL),1,NoseBleeder RL
B082,OldSkool,1,,81,,,Lead,2,,82,RL,Unknown (RL),1,OldSkool RL
B083,Slither,1,,82,,,Lead,2,,83,RL,Unknown (RL),1,Slither RL
B084,SuperSquare,1,,83,,,Lead,2,,84,RL,Unknown (RL),1,SuperSquare RL
B085,RemixKeys,1,,84,,,Lead,2,,85,RL,Unknown (RL),1,RemixKeys RL
B086,DangerZone,1,,85,,,Lead,2,,86,RL,Unknown (RL),1,DangerZone RL
B087,SnapAttack,1,,86,,,Bass,2,,87,RL,Unknown (RL),1,SnapAttack RL
B088,Pitch&Slide,1,,87,,,Lead,2,,88,RL,Unknown (RL),1,Pitch&Slide RL
B089,LiquidSaws,1,,88,,,Lead,2,,89,RL,Unknown (RL),1,LiquidSaws RL
B090,Icelandic,1,,89,,,Pad,2,,90,RL,Unknown (RL),1,Icelandic RL
B091,Avatar,1,,90,,,Pad,2,,91,RL,Unknown (RL),1,Avatar RL
B092,Seduction,1,,91,,,Bass,2,,92,RL,Unknown (RL),1,Seduction RL
B093,FollowMe,1,,92,,,Arp,2,,93,RL,Unknown (RL),1,FollowMe RL
B094,DutchLead,1,,93,,,Lead,2,,94,RL,Unknown (RL),1,DutchLead RL
B095,ElectricPiano,1,,94,,,Keys,2,,95,RL,Unknown (RL),1,ElectricPiano RL
B096,WetElectro,1,,95,,,Bass,2,,96,RL,Unknown (RL),1,WetElectro RL
B097,Airwave,1,,96,,,Pad,2,,97,RL,Unknown (RL),1,Airwave RL
B098,RaveGenerator,1,,97,,,Lead,2,,98,RL,Unknown (RL),1,RaveGenerator RL
B099,Amnesia,1,,98,,,Lead,2,,99,RL,Unknown (RL),1,Amnesia RL
B100,PlayedLive,1,,99,,,Keys,2,,100,RL,Unknown (RL),1,PlayedLive RL
B101,AcidHouse,1,,100,,,Bass,2,,101,RL,Unknown (RL),1,AcidHouse RL
B102,TechnoBoy,1,,101,,,Lead,2,,102,RL,Unknown (RL),1,TechnoBoy RL
B103,ClubRiffer,1,,102,,,Keys,2,,103,RL,Unknown (RL),1,ClubRiffer RL
B104,TechnoBells,1,,103,,,Lead,2,,104,RL,Unknown (RL),1,TechnoBells RL
B105,Evolution,1,,104,,,Lead,2,,105,RL,Unknown (RL),2,Evolution  RL
B106,DelMar,1,,105,,,Pad,2,,106,RL,Unknown (RL),1,DelMar RL
B107,HardEdge,1,,106,,,Arp,2,,107,RL,Unknown (RL),1,HardEdge RL
B108,FatPulse,1,,107,,,Bass,2,,108,RL,Unknown (RL),1,FatPulse RL
B109,KnockDelays,1,,108,,,Bass,2,,109,RL,Unknown (RL),1,KnockDelays RL
B110,Siberia,1,,109,,,Pad,2,,110,RL,Unknown (RL),1,Siberia RL
B111,TechnoEric,1,,110,,,Bass,2,,111,RL,Unknown (RL),1,TechnoEric RL
B112,DanceClassic,1,,111,,,Keys,2,,112,RL,Unknown (RL),1,DanceClassic RL
B113,OffShore44,1,,112,,,Arp,2,,113,RL,Unknown (RL),1,OffShore44 RL
B114,Parisien,1,,113,,,Pad,2,,114,RL,Unknown (RL),1,Parisien RL
B115,DeepHouse,1,,114,,,Bass,2,,115,RL,Unknown (RL),1,DeepHouse RL
B116,MonstaBass,1,,115,,,Bass,2,,116,RL,Unknown (RL),1,MonstaBass RL
B117,Ambience,1,,116,,,Pad,2,,117,RL,Unknown (RL),1,Ambience RL
B118,XTBass,1,,117,,,Bass,2,,118,RL,Unknown (RL),1,XTBass RL
B119,ModularFX,1,,118,,,FX,2,,119,RL,Unknown (RL),1,ModularFX RL
B120,Organesque,1,,119,,,Keys,2,,120,RL,Unknown (RL),1,Organesque RL
B121,PearlDrops,1,,120,,,Poly,2,,121,RL,Unknown (RL),1,PearlDrops RL
B122,BattleStar,1,,121,,,Poly,2,,122,RL,Unknown (RL),1,BattleStar RL
B123,AlienBass,1,,122,,,Bass,2,,123,RL,Unknown (RL),1,AlienBass RL
B124,SuperWaves,1,,123,,,Lead,2,,124,RL,Unknown (RL),1,SuperWaves RL
B125,Unchartered,1,,124,,,Pad,2,,125,RL,Unknown (RL),1,Unchartered RL
B126,PlanetZod,1,,125,,,Pad,2,,126,RL,Unknown (RL),1,PlanetZod RL
B127,Elevation,1,,126,,,Lead,2,,127,RL,Unknown (RL),1,Elevation RL
B128,BassTrap,1,,127,,,Bass,2,,128,RL,Unknown (RL),1,BassTrap RL
C001,The 1980s,2,,0,,,Poly,3,,1,T,Tsching (Holger Steinbrink),6,The 1980s      T
C002,S1l4g3,2,,1,,,Lead,3,,2,CA,Unknown (CA),8,S1l4g3        CA
C003,Dig. Modular,2,,2,,,Poly,3,,3,SCD,Something Completely Different (Boele Gerkes),1,Dig. Modular SCD
C004,Shy T3ddy,2,,3,,,Keys,3,,4,CA,Unknown (CA),5,Shy T3ddy     CA
C005,PPGenious,2,,4,,,Keys,3,,5,SCD,Something Completely Different (Boele Gerkes),4,PPGenious    SCD
C006,Torreblanca,2,,5,,,Lead,3,,6,CA,Unknown (CA),3,Torreblanca   CA
C007,Wave Voices,2,,6,,,Keys,3,,7,SCD,Something Completely Different (Boele Gerkes),2,Wave Voices  SCD
C008,Channel 1337,2,,7,,,Pad,3,,8,CA,Unknown (CA),2,Channel 1337  CA
