displayname,patchname,msb,lsb,programchange,poly,arp,categories,dt-bank,dt-sbnk,dt-programchange
183,Dist Guitar1,95,65,54,,,Keyboard,96,66,55
184,D. Mute Gtr1,95,65,55,,,Keyboard,96,66,56
185,E. Sitar,95,65,56,,,Keyboard,96,66,57
186,Sitar Drone,95,65,57,,,Keyboard,96,66,58
187,FX 1,95,65,58,,,FX/Other,96,66,59
188,FX 2,95,65,59,,,FX/Other,96,66,60
189,FX 3,95,65,60,,,FX/Other,96,66,61
190,Tuned Winds1,95,65,61,,,FX/Other,96,66,62
191,Bend Lead 1,95,65,62,,,FX/Other,96,66,63
192,RiSER 1,95,65,63,,,FX/Other,96,66,64
193,Rising SEQ 1,95,65,64,,,FX/Other,96,66,65
194,Scream Saw,95,65,65,,,FX/Other,96,66,66
195,Noise SEQ 1,95,65,66,,,FX/Other,96,66,67
196,Syn Vox 1,95,65,67,,,FX/Other,96,66,68
197,JD SoftVox,95,65,68,,,FX/Other,96,66,69
198,Vox Pad,95,65,69,,,FX/Other,96,66,70
199,VP-330 Chr,95,65,70,,,FX/Other,96,66,71
200,Orch Hit,95,65,71,,,FX/Other,96,66,72
201,Philly Hit,95,65,72,,,FX/Other,96,66,73
202,House Hit,95,65,73,,,FX/Other,96,66,74
203,O’Skool Hit1,95,65,74,,,FX/Other,96,66,75
204,Punch Hit,95,65,75,,,FX/Other,96,66,76
205,Tao Hit,95,65,76,,,FX/Other,96,66,77
206,SEQ Saw 1,95,65,77,,,Seq,96,66,78
207,SEQ Sqr,95,65,78,,,Seq,96,66,79
208,SEQ Tri 1,95,65,79,,,Seq,96,66,80
209,SEQ 1,95,65,80,,,Seq,96,66,81
210,SEQ 2,95,65,81,,,Seq,96,66,82
211,SEQ 3,95,65,82,,,Seq,96,66,83
212,SEQ 4,95,65,83,,,Seq,96,66,84
213,Sqr Reso Plk,95,65,84,,,Seq,96,66,85
214,Pluck Synth1,95,65,85,,,Seq,96,66,86
215,Paperclip 1,95,65,86,,,Seq,96,66,87
216,Sonar Pluck1,95,65,87,,,Seq,96,66,88
217,SqrTrapPlk 1,95,65,88,,,Seq,96,66,89
218,TB Saw Seq 1,95,65,89,,,Seq,96,66,90
219,TB Sqr Seq 1,95,65,90,,,Seq,96,66,91
220,JUNO Key,95,65,91,,,Seq,96,66,92
221,Analog Poly1,95,65,92,,,Seq,96,66,93
222,Analog Poly2,95,65,93,,,Seq,96,66,94
223,Analog Poly3,95,65,94,,,Seq,96,66,95
224,Analog Poly4,95,65,95,,,Seq,96,66,96
225,JUNO Octavr1,95,65,96,,,Seq,96,66,97
226,EDM Synth 1,95,65,97,,,Seq,96,66,98
227,Super Saw 2,95,65,98,,,Seq,96,66,99
228,S-Saw Poly,95,65,99,,,Seq,96,66,100
229,Trance Key 1,95,65,100,,,Seq,96,66,101
230,S-Saw Pad 1,95,65,101,,,Seq,96,66,102
231,7th Stac Syn,95,65,102,,,Seq,96,66,103
232,S-SawStc Syn,95,65,103,,,Seq,96,66,104
233,Trance Key 2,95,65,104,,,Seq,96,66,105
234,Analog Brass,95,65,105,,,Brass,96,66,106
235,Reso Brass,95,65,106,,,Brass,96,66,107
236,Soft Brass 1,95,65,107,,,Brass,96,66,108
237,FM Brass,95,65,108,,,Brass,96,66,109
238,Syn Brass 1,95,65,109,,,Brass,96,66,110
239,Syn Brass 2,95,65,110,,,Brass,96,66,111
240,JP8 Brass,95,65,111,,,Brass,96,66,112
241,Soft SynBrs1,95,65,112,,,Brass,96,66,113
242,Soft SynBrs2,95,65,113,,,Brass,96,66,114
243,EpicSlow Brs,95,65,114,,,Brass,96,66,115
244,JUNO Brass,95,65,115,,,Brass,96,66,116
245,Poly Brass,95,65,116,,,Brass,96,66,117
246(257),Voc:Ensemble,95,65,117,,,FX/Other,96,66,118
247(258),Voc:5thStack,95,65,118,,,FX/Other,96,66,119
248(259),Voc:Robot,95,65,119,,,FX/Other,96,66,120
249(260),Voc:Saw,95,65,120,,,FX/Other,96,66,121
250(261),Voc:Sqr,95,65,121,,,FX/Other,96,66,122
251(262),Voc:Rise Up,95,65,122,,,FX/Other,96,66,123
252(263),Voc:Auto Vib,95,65,123,,,FX/Other,96,66,124
253(264),Voc:PitchEnv,95,65,124,,,FX/Other,96,66,125
254(265),Voc:VP-330,95,65,125,,,FX/Other,96,66,126
255(266),Voc:Noise,95,65,126,,,FX/Other,96,66,127
256,Init Tone,95,65,127,,,FX/Other,96,66,128
